,birth_year,constituency,designation,m_appts,name,office_appts,party,select_appts,salutation,year
0,1978-01-01,Sembawang GRC,"Senior Parliamentary Secretary, Ministry of Home Affairs & Ministry of Health","{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Amrin Amin,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Mr,1978.0
1,1965-01-01,Ang Mo Kio GRC,Member of Parliament,"{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Ang Hin Kee,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Mr,1965.0
2,1967-01-01,Jurong GRC,Member of Parliament,"{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Ang Wei Neng,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Mr,1967.0
3,1970-01-01,Tampines GRC,"Senior Parliamentary Secretary, Ministry of Transport & Ministry of Culture, Community and Youth","{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Baey Yam Keng,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Mr,1970.0
4,1976-01-01,Fengshan,Member of Parliament,"{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Cheryl Chan Wei Ling,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Miss,1976.0
5,1969-01-01,Tanjong Pagar GRC,Minister for Trade and Industry,"{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Chan Chun Sing,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Mr,1969.0
6,1973-01-01,Bishan-Toa Payoh GRC,"Senior Minister of State, Ministry of Trade and Industry & Ministry of Education","{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Chee Hong Tat,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Mr,1973.0
7,1961-01-01,Aljunied GRC,Member of Parliament,"{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Chen Show Mao,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",Workers' Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Mr,1961.0
8,1976-01-01,Tampines GRC,Member of Parliament,"{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Cheng Li Hui,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Miss,1976.0
9,1971-01-01,Tanjong Pagar GRC,Member of Parliament,"{0: {'duration': '11 September 2015 to Current', 'position': 'Sembawang GRC'}}",Chia Shi-Lu,"{0: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Home Affairs'}, 1: {'duration': '1 May 2018 to Current', 'position': 'Senior Parliamentary Secretary, Ministry of Health'}, 2: {'duration': '1 May 2017 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Health'}, 3: {'duration': '1 October 2015 to 30 April 2018', 'position': 'Parliamentary Secretary, Ministry of Home Affairs'}}",People's Action Party,"{0: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 2nd Session'}, 1: {'duration': 'House Committee', 'position': 'Member', 'session': '13th Parliament, 1st Session'}}",Dr,1971.0
