,Name,Party,GE,Constituency,Margin,election_type,election_year
0,ABBAS bin Abu Amin,People's Action Party,GE 1980,Pasir Panjang,72.6%,GE,1980
1,ABBAS bin Abu Amin,People's Action Party,GE 1984,Pasir Panjang,59.3%,GE,1984
2,ABBAS bin Abu Amin,People's Action Party,GE 1988,Pasir Panjang GRC,61.6%,GE,1988
3,ABDUL AZIZ bin Karim,People's Action Party,GE 1968,Kallang,Uncontested,GE,1968
4,ABDUL AZIZ bin Karim,People's Action Party,GE 1972,Kallang,79.8%,GE,1972
5,ABDUL bin Samat,Progressive Party,MC Apr 1949,South,30.2%,MC Apr,1949
6,ABDUL HAMID bin Jumat,United Malays National Organisation,GE 1955,Ulu Bedok,61.0%,GE,1955
7,ABDUL HAMID bin Jumat,United Malays National Organisation,GE 1959,Geylang Serai,63.1%,GE,1959
8,ABDUL HAMID bin Rahmat,Progressive Party,GE 1955,Ulu Bedok,7.0%,GE,1955
9,ABDUL KARIM bin Abdul Sattar,Pertubuhan Kebangsaan Melayu Singapura,GE 1988,Buona Vista,3.1%,GE,1988
10,ABDUL KARIM bin Abdul Sattar,Pertubuhan Kebangsaan Melayu Singapura,GE 1991,Buona Vista,20.6%,GE,1991
11,ABDUL LATIFF bin Ibrahim,Partai Rakyat,GE 1959,Kampong Kembangan,2.0%,GE,1959
12,ABDUL MALIK bin Ali,National Solidarity Party,GE 1988,Tampines GRC,39.0%,GE,1988
13,ABDUL NASSER bin Kamaruddin,People's Action Party,GE 1988,Hong Kah GRC,Uncontested,GE,1988
14,ABDUL RAHIM bin Abdul Rahman,Barisan Sosialis,GE 1972,Delta,12.4%,GE,1972
15,ABDUL RAHIM bin Abdul Rahman,Barisan Sosialis,GE 1976,Toa Payoh,26.4%,GE,1976
16,ABDUL RAHIM bin Abdul Rahman,Workers' Party,GE 1997,Pasir Ris GRC,29.1%,GE,1997
17,ABDUL RAHIM bin Abdul Rahman,Workers' Party,GE 2006,East Coast GRC,36.1%,GE,2006
18,ABDUL RAHIM bin Ishak[25 Jul 1925 - 18 Jan 2001],People's Action Party,GE 1963,Siglap,62.1%,GE,1963
19,ABDUL RAHIM bin Ishak[25 Jul 1925 - 18 Jan 2001],People's Action Party,GE 1968,Siglap,Uncontested,GE,1968
20,ABDUL RAHIM bin Ishak[25 Jul 1925 - 18 Jan 2001],People's Action Party,GE 1972,Siglap,78.6%,GE,1972
21,ABDUL RAHIM bin Ishak[25 Jul 1925 - 18 Jan 2001],People's Action Party,GE 1976,Siglap,78.2%,GE,1976
